ID_VIV,ID_PERSONA,ENT,NOM_ENT,MUN,NOM_MUN,LOC50K,NOM_LOC,COBERTURA,ESTRATO,UPM,FACTOR,NUMPER,SEXO,EDAD,PARENT,PARENT_OTRO_C,IDENT_MADRE,IDENT_PADRE,SERSALUD,AFRODES,ACTA_NAC,DHSERSAL1,DHSERSAL2,PERTE_INDIGENA,ENT_PAIS_NAC,NACIONALIDAD,HLENGUA,QDIALECT_C,QDIALECT_INALI,HESPANOL,ELENGUA,ASISTEN,MUN_ASI,NOM_MUN_ASI,ENT_PAIS_ASI,TIE_TRASLADO_ESCU,MED_TRASLADO_ESC1,MED_TRASLADO_ESC2,MED_TRASLADO_ESC3,ESCOLARI,NIVACAD,ALFABET,ESCOACUM,MUN_RES10,NOM_MUN_RES10,ENT_PAIS_RES10,SITUA_CONYUGAL,IDENT_PAREJA,CONACT,OCUPACION_C,SITUACION_TRAB,AGUINALDO,VACACIONES,SERVICIO_MEDICO,UTILIDADES,INCAP_SUELDO,SAR_AFORE,CREDITO_VIVIENDA,INGTRMEN,ACTIVIDADES_C,MUN_TRAB,NOM_MUN_TRAB,ENT_PAIS_TRAB,TIE_TRASLADO_TRAB,MED_TRASLADO_TRAB1,MED_TRASLADO_TRAB2,MED_TRASLADO_TRAB3,ACTI_SIN_PAGO1,ACTI_SIN_PAGO2,ACTI_SIN_PAGO3,ACTI_SIN_PAGO4,ACTI_SIN_PAGO5,ACTI_SIN_PAGO6,ACTI_SIN_PAGO7,ACTI_SIN_PAGO8,HIJOS_NAC_VIVOS,HIJOS_FALLECIDOS,HIJOS_SOBREVIV,FECHA_NAC_M,FECHA_NAC_A,SOBREVIVENCIA,EDAD_MORIR_D,EDAD_MORIR_M,EDAD_MORIR_A,TAMLOC
130270002106,13027000210602,13,Hidalgo,27,Huehuetla,0,Localidad de menos de 50 mil habitantes,2,13-027-08,84735,2,2,3,28,8,423,96,96,5,3,1,1,,1,13,5,3,,,,1,7,,,,,,,,3,4,5,12,27,Huehuetla,13,1,1,10,952,5,,,,,,,,8571,7222,27,Huehuetla,13,1,6,,,0,0,42,0,0,2,2,1,2,0,2,10,2012,1,,,,2
130270002106,13027000210603,13,Hidalgo,27,Huehuetla,0,Localidad de menos de 50 mil habitantes,2,13-027-08,84735,2,3,3,4,3,301,2,1,5,3,1,1,,1,13,5,3,,,,3,5,27,Huehuetla,13,1,6,,,99,99,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
130270002106,13027000210604,13,Hidalgo,27,Huehuetla,0,Localidad de menos de 50 mil habitantes,2,13-027-08,84735,2,4,3,2,3,301,2,1,5,3,1,1,,1,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
130270002123,13027000212301,13,Hidalgo,27,Huehuetla,0,Localidad de menos de 50 mil habitantes,2,13-027-08,84746,3,1,3,38,1,101,97,97,5,3,1,1,,1,13,5,1,712,702,5,,7,,,,,,,,2,3,5,8,27,Huehuetla,13,1,2,33,,,,,,,,,,,,,,,,,,,0,0,0,0,0,14,14,2,2,0,2,8,2001,1,,,,2
130270002123,13027000212302,13,Hidalgo,27,Huehuetla,0,Localidad de menos de 50 mil habitantes,2,13-027-08,84746,3,2,1,41,2,201,96,96,5,3,1,1,,1,13,5,3,,,,3,7,,,,,,,,6,2,5,6,27,Huehuetla,13,1,1,10,712,3,2,4,6,8,2,4,6,3000,2361,27,Huehuetla,13,2,9,,,0,0,0,0,0,0,0,0,,,,,,,,,,2
130270002123,13027000212303,13,Hidalgo,27,Huehuetla,0,Localidad de menos de 50 mil habitantes,2,13-027-08,84746,3,3,1,18,3,301,1,96,5,3,1,1,,1,13,5,3,,,,3,5,27,Huehuetla,13,1,6,,,2,4,5,11,27,Huehuetla,13,6,,31,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,2
130270002123,13027000212304,13,Hidalgo,27,Huehuetla,0,Localidad de menos de 50 mil habitantes,2,13-027-08,84746,3,4,1,13,3,301,1,96,5,3,1,1,,1,13,5,3,,,,3,5,27,Huehuetla,13,1,9,,,1,3,5,7,,,221,6,,31,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,2
130270002124,13027000212401,13,Hidalgo,27,Huehuetla,0,Localidad de menos de 50 mil habitantes,2,13-027-08,84742,3,1,1,34,1,101,96,96,5,3,1,1,,1,13,5,3,,,,3,7,,,,,,,,1,3,5,7,27,Huehuetla,13,1,2,35,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,2
130270002124,13027000212402,13,Hidalgo,27,Huehuetla,0,Localidad de menos de 50 mil habitantes,2,13-027-08,84742,3,2,3,35,2,201,96,96,5,3,1,1,,1,13,5,1,712,702,5,,7,,,,,,,,3,4,5,12,27,Huehuetla,13,1,1,33,,,,,,,,,,,,,,,,,,,0,0,0,0,0,14,14,7,2,0,2,3,2010,1,,,,2
130270002124,13027000212403,13,Hidalgo,27,Huehuetla,0,Localidad de menos de 50 mil habitantes,2,13-027-08,84742,3,3,3,14,3,301,2,1,5,3,1,1,,1,13,5,3,,,,3,5,27,Huehuetla,13,1,6,,,1,3,5,7,27,Huehuetla,13,6,,31,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,2
130270002124,13027000212404,13,Hidalgo,27,Huehuetla,0,Localidad de menos de 50 mil habitantes,2,13-027-08,84742,3,4,1,4,3,301,2,1,5,3,1,1,,1,13,5,3,,,,3,5,27,Huehuetla,13,1,6,,,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
130270002134,13027000213401,13,Hidalgo,27,Huehuetla,0,Localidad de menos de 50 mil habitantes,2,13-027-08,84735,2,1,3,26,1,101,97,97,5,3,1,1,,1,13,5,3,,,,1,7,,,,,,,,3,4,5,12,27,Huehuetla,13,1,2,33,,,,,,,,,,,,,,,,,,,0,5,24,12,5,5,2,1,2,0,2,12,2014,1,,,,2
130270002134,13027000213402,13,Hidalgo,27,Huehuetla,0,Localidad de menos de 50 mil habitantes,2,13-027-08,84735,2,2,1,29,2,201,96,96,5,3,1,1,,1,13,5,1,712,702,5,,7,,,,,,,,3,4,5,12,27,Huehuetla,13,1,1,10,265,1,2,4,6,8,2,4,6,3000,5611,27,Huehuetla,13,1,6,,,0,0,2,1,0,0,0,1,,,,,,,,,,2
130270002134,13027000213403,13,Hidalgo,27,Huehuetla,0,Localidad de menos de 50 mil habitantes,2,13-027-08,84735,2,3,3,6,3,301,1,2,5,3,1,1,,1,13,5,3,,,,3,5,27,Huehuetla,13,1,6,,,3,1,5,0,27,Huehuetla,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
